Author,Venue,Submissions
Paul Francis,HotNets,0
Paul Francis,ANRW,0
Paul Francis,ANCS,0
David A. Maltz,SIGCOMM,11
David A. Maltz,IMC,4
David A. Maltz,CoNext,3
David A. Maltz,ICN,0
David A. Maltz,E-Energy,0
David A. Maltz,SenSys,0
David A. Maltz,SoSR,0
David A. Maltz,LANC,0
David A. Maltz,HotNets,0
David A. Maltz,ANRW,0
David A. Maltz,ANCS,0
Deepak Ganesan,SIGCOMM,4
Deepak Ganesan,IMC,0
Deepak Ganesan,CoNext,0
Deepak Ganesan,ICN,0
Deepak Ganesan,E-Energy,1
Deepak Ganesan,SenSys,13
Deepak Ganesan,SoSR,0
Deepak Ganesan,LANC,0
Deepak Ganesan,HotNets,0
Deepak Ganesan,ANRW,0
Deepak Ganesan,ANCS,0
Mohammad Alizadeh,SIGCOMM,16
Mohammad Alizadeh,IMC,0
Mohammad Alizadeh,CoNext,1
Mohammad Alizadeh,ICN,0
Mohammad Alizadeh,E-Energy,0
Mohammad Alizadeh,SenSys,0
Mohammad Alizadeh,SoSR,0
Mohammad Alizadeh,LANC,0
Mohammad Alizadeh,HotNets,0
Mohammad Alizadeh,ANRW,0
Mohammad Alizadeh,ANCS,0
Mark Crovella,SIGCOMM,4
Mark Crovella,IMC,12
Mark Crovella,CoNext,1
Mark Crovella,ICN,0
Mark Crovella,E-Energy,0
Mark Crovella,SenSys,0
Mark Crovella,SoSR,0
Mark Crovella,LANC,0
Mark Crovella,HotNets,0
Mark Crovella,ANRW,0
Mark Crovella,ANCS,0
Fabián E. Bustamante,SIGCOMM,10
Fabián E. Bustamante,IMC,5
Fabián E. Bustamante,CoNext,2
Fabián E. Bustamante,ICN,0
Fabián E. Bustamante,E-Energy,0
Fabián E. Bustamante,SenSys,0
Fabián E. Bustamante,SoSR,0
Fabián E. Bustamante,LANC,0
Fabián E. Bustamante,HotNets,0
Fabián E. Bustamante,ANRW,0
Fabián E. Bustamante,ANCS,0
Matthew J. Luckie,SIGCOMM,2
Matthew J. Luckie,IMC,11
Matthew J. Luckie,CoNext,4
Matthew J. Luckie,ICN,0
Matthew J. Luckie,E-Energy,0
Matthew J. Luckie,SenSys,0
Matthew J. Luckie,SoSR,0
Matthew J. Luckie,LANC,0
Matthew J. Luckie,HotNets,0
Matthew J. Luckie,ANRW,0
Matthew J. Luckie,ANCS,0
Hermann de Meer,SIGCOMM,0
Hermann de Meer,IMC,0
Hermann de Meer,CoNext,0
Hermann de Meer,ICN,0
Hermann de Meer,E-Energy,17
Hermann de Meer,SenSys,0
Hermann de Meer,SoSR,0
Hermann de Meer,LANC,0
Hermann de Meer,HotNets,0
Hermann de Meer,ANRW,0
Hermann de Meer,ANCS,0
Tarek F. Abdelzaher,SIGCOMM,0
Tarek F. Abdelzaher,IMC,0
Tarek F. Abdelzaher,CoNext,0
Tarek F. Abdelzaher,ICN,0
Tarek F. Abdelzaher,E-Energy,0
Tarek F. Abdelzaher,SenSys,17
Tarek F. Abdelzaher,SoSR,0
Tarek F. Abdelzaher,LANC,0
Tarek F. Abdelzaher,HotNets,0
Tarek F. Abdelzaher,ANRW,0
Tarek F. Abdelzaher,ANCS,0
Christo Wilson,SIGCOMM,1
Christo Wilson,IMC,15
Christo Wilson,CoNext,0
Christo Wilson,ICN,0
Christo Wilson,E-Energy,0
Christo Wilson,SenSys,0
Christo Wilson,SoSR,0
Christo Wilson,LANC,0
Christo Wilson,HotNets,0
Christo Wilson,ANRW,0
Christo Wilson,ANCS,0
Balachander Krishnamurthy,SIGCOMM,3
Balachander Krishnamurthy,IMC,13
Balachander Krishnamurthy,CoNext,0
Balachander Krishnamurthy,ICN,0
Balachander Krishnamurthy,E-Energy,0
Balachander Krishnamurthy,SenSys,0
Balachander Krishnamurthy,SoSR,0
Balachander Krishnamurthy,LANC,0
Balachander Krishnamurthy,HotNets,0
Balachander Krishnamurthy,ANRW,0
Balachander Krishnamurthy,ANCS,0
Yang Richard Yang,SIGCOMM,14
Yang Richard Yang,IMC,0
Yang Richard Yang,CoNext,2
Yang Richard Yang,ICN,0
Yang Richard Yang,E-Energy,0
Yang Richard Yang,SenSys,0
Yang Richard Yang,SoSR,0
Yang Richard Yang,LANC,0
Yang Richard Yang,HotNets,0
Yang Richard Yang,ANRW,0
Yang Richard Yang,ANCS,0
Sid Chi-Kin Chau,SIGCOMM,0
Sid Chi-Kin Chau,IMC,0
Sid Chi-Kin Chau,CoNext,0
Sid Chi-Kin Chau,ICN,0
Sid Chi-Kin Chau,E-Energy,16
Sid Chi-Kin Chau,SenSys,0
Sid Chi-Kin Chau,SoSR,0
Sid Chi-Kin Chau,LANC,0
Sid Chi-Kin Chau,HotNets,0
Sid Chi-Kin Chau,ANRW,0
Sid Chi-Kin Chau,ANCS,0
Lothar Thiele,SIGCOMM,0
Lothar Thiele,IMC,0
Lothar Thiele,CoNext,0
Lothar Thiele,ICN,0
Lothar Thiele,E-Energy,0
Lothar Thiele,SenSys,16
Lothar Thiele,SoSR,0
Lothar Thiele,LANC,0
Lothar Thiele,HotNets,0
Lothar Thiele,ANRW,0
Lothar Thiele,ANCS,0
Thiemo Voigt,SIGCOMM,0
Thiemo Voigt,IMC,0
Thiemo Voigt,CoNext,0
Thiemo Voigt,ICN,0
Thiemo Voigt,E-Energy,0
Thiemo Voigt,SenSys,16
Thiemo Voigt,SoSR,0
Thiemo Voigt,LANC,0
Thiemo Voigt,HotNets,0
Thiemo Voigt,ANRW,0
Thiemo Voigt,ANCS,0
Jan Beutel,SIGCOMM,0
Jan Beutel,IMC,0
Jan Beutel,CoNext,0
Jan Beutel,ICN,0
Jan Beutel,E-Energy,0
Jan Beutel,SenSys,16
Jan Beutel,SoSR,0
Jan Beutel,LANC,0
Jan Beutel,HotNets,0
Jan Beutel,ANRW,0
Jan Beutel,ANCS,0
Marco Zimmerling,SIGCOMM,0
Marco Zimmerling,IMC,0
Marco Zimmerling,CoNext,0
Marco Zimmerling,ICN,0
Marco Zimmerling,E-Energy,0
Marco Zimmerling,SenSys,16
Marco Zimmerling,SoSR,0
Marco Zimmerling,LANC,0
Marco Zimmerling,HotNets,0
Marco Zimmerling,ANRW,0
Marco Zimmerling,ANCS,0
Andrew T. Campbell,SIGCOMM,1
Andrew T. Campbell,IMC,0
Andrew T. Campbell,CoNext,0
Andrew T. Campbell,ICN,0
Andrew T. Campbell,E-Energy,0
Andrew T. Campbell,SenSys,15
Andrew T. Campbell,SoSR,0
Andrew T. Campbell,LANC,0
Andrew T. Campbell,HotNets,0
Andrew T. Campbell,ANRW,0
Andrew T. Campbell,ANCS,0
Georgios Smaragdakis,SIGCOMM,2
Georgios Smaragdakis,IMC,9
Georgios Smaragdakis,CoNext,4
Georgios Smaragdakis,ICN,0
Georgios Smaragdakis,E-Energy,0
Georgios Smaragdakis,SenSys,0
Georgios Smaragdakis,SoSR,0
Georgios Smaragdakis,LANC,0
Georgios Smaragdakis,HotNets,0
Georgios Smaragdakis,ANRW,0
Georgios Smaragdakis,ANCS,0
Luca Muscariello ,SIGCOMM,0
Luca Muscariello ,IMC,0
Luca Muscariello ,CoNext,0
Luca Muscariello ,ICN,15
Luca Muscariello ,E-Energy,0
Luca Muscariello ,SenSys,0
Luca Muscariello ,SoSR,0
Luca Muscariello ,LANC,0
Luca Muscariello ,HotNets,0
Luca Muscariello ,ANRW,0
Luca Muscariello ,ANCS,0
Ming Zhang,SIGCOMM,11
Ming Zhang,IMC,2
Ming Zhang,CoNext,1
Ming Zhang,ICN,0
Ming Zhang,E-Energy,0
Ming Zhang,SenSys,1
Ming Zhang,SoSR,0
Ming Zhang,LANC,0
Ming Zhang,HotNets,0
Ming Zhang,ANRW,0
Ming Zhang,ANCS,0
Shyamnath Gollakota,SIGCOMM,12
Shyamnath Gollakota,IMC,0
Shyamnath Gollakota,CoNext,1
Shyamnath Gollakota,ICN,0
Shyamnath Gollakota,E-Energy,0
Shyamnath Gollakota,SenSys,2
Shyamnath Gollakota,SoSR,0
Shyamnath Gollakota,LANC,0
Shyamnath Gollakota,HotNets,0
Shyamnath Gollakota,ANRW,0
Shyamnath Gollakota,ANCS,0
Larry L. Peterson,SIGCOMM,11
Larry L. Peterson,IMC,2
Larry L. Peterson,CoNext,1
Larry L. Peterson,ICN,0
Larry L. Peterson,E-Energy,0
Larry L. Peterson,SenSys,0
Larry L. Peterson,SoSR,0
Larry L. Peterson,LANC,0
Larry L. Peterson,HotNets,0
Larry L. Peterson,ANRW,0
Larry L. Peterson,ANCS,0
Ben Y. Zhao ,SIGCOMM,2
Ben Y. Zhao ,IMC,10
Ben Y. Zhao ,CoNext,2
Ben Y. Zhao ,ICN,0
Ben Y. Zhao ,E-Energy,0
Ben Y. Zhao ,SenSys,0
Ben Y. Zhao ,SoSR,0
Ben Y. Zhao ,LANC,0
Ben Y. Zhao ,HotNets,0
Ben Y. Zhao ,ANRW,0
Ben Y. Zhao ,ANCS,0
Adam Dunkels,SIGCOMM,1
Adam Dunkels,IMC,0
Adam Dunkels,CoNext,0
Adam Dunkels,ICN,0
Adam Dunkels,E-Energy,0
Adam Dunkels,SenSys,13
Adam Dunkels,SoSR,0
Adam Dunkels,LANC,0
Adam Dunkels,HotNets,0
Adam Dunkels,ANRW,0
Adam Dunkels,ANCS,0
Albert G. Greenberg,SIGCOMM,10
Albert G. Greenberg,IMC,3
Albert G. Greenberg,CoNext,0
Albert G. Greenberg,ICN,0
Albert G. Greenberg,E-Energy,0
Albert G. Greenberg,SenSys,0
Albert G. Greenberg,SoSR,0
Albert G. Greenberg,LANC,0
Albert G. Greenberg,HotNets,0
Albert G. Greenberg,ANRW,0
Albert G. Greenberg,ANCS,0
Constantinos Dovrolis,SIGCOMM,4
Constantinos Dovrolis,IMC,9
Constantinos Dovrolis,CoNext,0
Constantinos Dovrolis,ICN,0
Constantinos Dovrolis,E-Energy,0
Constantinos Dovrolis,SenSys,0
Constantinos Dovrolis,SoSR,0
Constantinos Dovrolis,LANC,0
Constantinos Dovrolis,HotNets,0
Constantinos Dovrolis,ANRW,0
Constantinos Dovrolis,ANCS,0
Jeffrey C. Mogul,SIGCOMM,11
Jeffrey C. Mogul,IMC,1
Jeffrey C. Mogul,CoNext,1
Jeffrey C. Mogul,ICN,0
Jeffrey C. Mogul,E-Energy,0
Jeffrey C. Mogul,SenSys,0
Jeffrey C. Mogul,SoSR,0
Jeffrey C. Mogul,LANC,0
Jeffrey C. Mogul,HotNets,0
Jeffrey C. Mogul,ANRW,0
Jeffrey C. Mogul,ANCS,0
Joel Sommers,SIGCOMM,3
Joel Sommers,IMC,9
Joel Sommers,CoNext,1
Joel Sommers,ICN,0
Joel Sommers,E-Energy,0
Joel Sommers,SenSys,0
Joel Sommers,SoSR,0
Joel Sommers,LANC,0
Joel Sommers,HotNets,0
Joel Sommers,ANRW,0
Joel Sommers,ANCS,0
Vijay Arya,SIGCOMM,0
Vijay Arya,IMC,0
Vijay Arya,CoNext,0
Vijay Arya,ICN,0
Vijay Arya,E-Energy,13
Vijay Arya,SenSys,0
Vijay Arya,SoSR,0
Vijay Arya,LANC,0
Vijay Arya,HotNets,0
Vijay Arya,ANRW,0
Vijay Arya,ANCS,0
Krithi Ramamritham,SIGCOMM,0
Krithi Ramamritham,IMC,0
Krithi Ramamritham,CoNext,0
Krithi Ramamritham,ICN,0
Krithi Ramamritham,E-Energy,13
Krithi Ramamritham,SenSys,0
Krithi Ramamritham,SoSR,0
Krithi Ramamritham,LANC,0
Krithi Ramamritham,HotNets,0
Krithi Ramamritham,ANRW,0
Krithi Ramamritham,ANCS,0
Catherine Rosenberg,SIGCOMM,0
Catherine Rosenberg,IMC,0
Catherine Rosenberg,CoNext,0
Catherine Rosenberg,ICN,0
Catherine Rosenberg,E-Energy,13
Catherine Rosenberg,SenSys,0
Catherine Rosenberg,SoSR,0
Catherine Rosenberg,LANC,0
Catherine Rosenberg,HotNets,0
Catherine Rosenberg,ANRW,0
Catherine Rosenberg,ANCS,0
Josiah D. Hester,SIGCOMM,0
Josiah D. Hester,IMC,0
Josiah D. Hester,CoNext,0
Josiah D. Hester,ICN,0
Josiah D. Hester,E-Energy,0
Josiah D. Hester,SenSys,13
Josiah D. Hester,SoSR,0
Josiah D. Hester,LANC,0
Josiah D. Hester,HotNets,0
Josiah D. Hester,ANRW,0
Josiah D. Hester,ANCS,0
Feng Zhao 0001,SIGCOMM,0
Feng Zhao 0001,IMC,0
Feng Zhao 0001,CoNext,0
Feng Zhao 0001,ICN,0
Feng Zhao 0001,E-Energy,0
Feng Zhao 0001,SenSys,13
Feng Zhao 0001,SoSR,0
Feng Zhao 0001,LANC,0
Feng Zhao 0001,HotNets,0
Feng Zhao 0001,ANRW,0
Feng Zhao 0001,ANCS,0
Changhoon Kim,SIGCOMM,8
Changhoon Kim,IMC,0
Changhoon Kim,CoNext,0
Changhoon Kim,ICN,0
Changhoon Kim,E-Energy,0
Changhoon Kim,SenSys,0
Changhoon Kim,SoSR,5
Changhoon Kim,LANC,0
Changhoon Kim,HotNets,0
Changhoon Kim,ANRW,0
Changhoon Kim,ANCS,0
Hitesh Ballani,SIGCOMM,11
Hitesh Ballani,IMC,1
Hitesh Ballani,CoNext,0
Hitesh Ballani,ICN,0
Hitesh Ballani,E-Energy,0
Hitesh Ballani,SenSys,0
Hitesh Ballani,SoSR,0
Hitesh Ballani,LANC,0
Hitesh Ballani,HotNets,0
Hitesh Ballani,ANRW,0
Hitesh Ballani,ANCS,0
Toru Hasegawa,SIGCOMM,0
Toru Hasegawa,IMC,0
Toru Hasegawa,CoNext,0
Toru Hasegawa,ICN,12
Toru Hasegawa,E-Energy,0
Toru Hasegawa,SenSys,0
Toru Hasegawa,SoSR,0
Toru Hasegawa,LANC,0
Toru Hasegawa,HotNets,0
Toru Hasegawa,ANRW,0
Toru Hasegawa,ANCS,0
Prashant J. Shenoy,SIGCOMM,0
Prashant J. Shenoy,IMC,0
Prashant J. Shenoy,CoNext,0
Prashant J. Shenoy,ICN,0
Prashant J. Shenoy,E-Energy,12
Prashant J. Shenoy,SenSys,0
Prashant J. Shenoy,SoSR,0
Prashant J. Shenoy,LANC,0
Prashant J. Shenoy,HotNets,0
Prashant J. Shenoy,ANRW,0
Prashant J. Shenoy,ANCS,0
Junchen Jiang,SIGCOMM,10
Junchen Jiang,IMC,0
Junchen Jiang,CoNext,0
Junchen Jiang,ICN,0
Junchen Jiang,E-Energy,0
Junchen Jiang,SenSys,0
Junchen Jiang,SoSR,0
Junchen Jiang,LANC,0
Junchen Jiang,HotNets,0
Junchen Jiang,ANRW,0
Junchen Jiang,ANCS,0
Boon Thau Loo,SIGCOMM,10
Boon Thau Loo,IMC,0
Boon Thau Loo,CoNext,0
Boon Thau Loo,ICN,0
Boon Thau Loo,E-Energy,0
Boon Thau Loo,SenSys,0
Boon Thau Loo,SoSR,0
Boon Thau Loo,LANC,0
Boon Thau Loo,HotNets,0
Boon Thau Loo,ANRW,0
Boon Thau Loo,ANCS,0
Matthew Caesar,SIGCOMM,9
Matthew Caesar,IMC,0
Matthew Caesar,CoNext,0
Matthew Caesar,ICN,0
Matthew Caesar,E-Energy,0
Matthew Caesar,SenSys,0
Matthew Caesar,SoSR,0
Matthew Caesar,LANC,0
Matthew Caesar,HotNets,0
Matthew Caesar,ANRW,0
Matthew Caesar,ANCS,0
Sally Floyd,SIGCOMM,9
Sally Floyd,IMC,0
Sally Floyd,CoNext,0
Sally Floyd,ICN,0
Sally Floyd,E-Energy,0
Sally Floyd,SenSys,0
Sally Floyd,SoSR,0
Sally Floyd,LANC,0
Sally Floyd,HotNets,0
Sally Floyd,ANRW,0
Sally Floyd,ANCS,0
Simon S. Lam,SIGCOMM,9
Simon S. Lam,IMC,0
Simon S. Lam,CoNext,0
Simon S. Lam,ICN,0
Simon S. Lam,E-Energy,0
Simon S. Lam,SenSys,0
Simon S. Lam,SoSR,0
Simon S. Lam,LANC,0
Simon S. Lam,HotNets,0
Simon S. Lam,ANRW,0
Simon S. Lam,ANCS,0
Hariharan Rahul,SIGCOMM,9
Hariharan Rahul,IMC,0
Hariharan Rahul,CoNext,0
Hariharan Rahul,ICN,0
Hariharan Rahul,E-Energy,0
Hariharan Rahul,SenSys,0
Hariharan Rahul,SoSR,0
Hariharan Rahul,LANC,0
Hariharan Rahul,HotNets,0
Hariharan Rahul,ANRW,0
Hariharan Rahul,ANCS,0
Guru M. Parulkar,SIGCOMM,9
Guru M. Parulkar,IMC,0
Guru M. Parulkar,CoNext,0
Guru M. Parulkar,ICN,0
Guru M. Parulkar,E-Energy,0
Guru M. Parulkar,SenSys,0
Guru M. Parulkar,SoSR,0
Guru M. Parulkar,LANC,0
Guru M. Parulkar,HotNets,0
Guru M. Parulkar,ANRW,0
Guru M. Parulkar,ANCS,0
Venkat N. Padmanabhan,SIGCOMM,9
Venkat N. Padmanabhan,IMC,0
Venkat N. Padmanabhan,CoNext,0
Venkat N. Padmanabhan,ICN,0
Venkat N. Padmanabhan,E-Energy,0
Venkat N. Padmanabhan,SenSys,0
Venkat N. Padmanabhan,SoSR,0
Venkat N. Padmanabhan,LANC,0
Venkat N. Padmanabhan,HotNets,0
Venkat N. Padmanabhan,ANRW,0
Venkat N. Padmanabhan,ANCS,0
Srinivasan Keshav,SIGCOMM,9
Srinivasan Keshav,IMC,0
Srinivasan Keshav,CoNext,0
Srinivasan Keshav,ICN,0
Srinivasan Keshav,E-Energy,0
Srinivasan Keshav,SenSys,0
Srinivasan Keshav,SoSR,0
Srinivasan Keshav,LANC,0
Srinivasan Keshav,HotNets,0
Srinivasan Keshav,ANRW,0
Srinivasan Keshav,ANCS,0
David R. Cheriton,SIGCOMM,9
David R. Cheriton,IMC,0
David R. Cheriton,CoNext,0
David R. Cheriton,ICN,0
David R. Cheriton,E-Energy,0
David R. Cheriton,SenSys,0
David R. Cheriton,SoSR,0
David R. Cheriton,LANC,0
David R. Cheriton,HotNets,0
David R. Cheriton,ANRW,0
David R. Cheriton,ANCS,0
Olaf Maennel,SIGCOMM,9
Olaf Maennel,IMC,0
Olaf Maennel,CoNext,0
Olaf Maennel,ICN,0
Olaf Maennel,E-Energy,0
Olaf Maennel,SenSys,0
Olaf Maennel,SoSR,0
Olaf Maennel,LANC,0
Olaf Maennel,HotNets,0
Olaf Maennel,ANRW,0
Olaf Maennel,ANCS,0
David D. Clark,SIGCOMM,9
David D. Clark,IMC,0
David D. Clark,CoNext,0
David D. Clark,ICN,0
David D. Clark,E-Energy,0
David D. Clark,SenSys,0
David D. Clark,SoSR,0
David D. Clark,LANC,0
David D. Clark,HotNets,0
David D. Clark,ANRW,0
David D. Clark,ANCS,0
Amogh Dhamdhere ,SIGCOMM,1
Amogh Dhamdhere ,IMC,8
Amogh Dhamdhere ,CoNext,0
Amogh Dhamdhere ,ICN,0
Amogh Dhamdhere ,E-Energy,0
Amogh Dhamdhere ,SenSys,0
Amogh Dhamdhere ,SoSR,0
Amogh Dhamdhere ,LANC,0
Amogh Dhamdhere ,HotNets,0
Amogh Dhamdhere ,ANRW,0
Amogh Dhamdhere ,ANCS,0
Matthias Wählisch,SIGCOMM,8
Matthias Wählisch,IMC,0
Matthias Wählisch,CoNext,0
Matthias Wählisch,ICN,0
Matthias Wählisch,E-Energy,0
Matthias Wählisch,SenSys,0
Matthias Wählisch,SoSR,0
Matthias Wählisch,LANC,0
Matthias Wählisch,HotNets,0
Matthias Wählisch,ANRW,0
Matthias Wählisch,ANCS,0
Thomas C. Schmidt,SIGCOMM,8
Thomas C. Schmidt,IMC,0
Thomas C. Schmidt,CoNext,0
Thomas C. Schmidt,ICN,0
Thomas C. Schmidt,E-Energy,0
Thomas C. Schmidt,SenSys,0
Thomas C. Schmidt,SoSR,0
Thomas C. Schmidt,LANC,0
Thomas C. Schmidt,HotNets,0
Thomas C. Schmidt,ANRW,0
Thomas C. Schmidt,ANCS,0
Chuanxiong Guo,SIGCOMM,8
Chuanxiong Guo,IMC,0
Chuanxiong Guo,CoNext,0
Chuanxiong Guo,ICN,0
Chuanxiong Guo,E-Energy,0
Chuanxiong Guo,SenSys,0
Chuanxiong Guo,SoSR,0
Chuanxiong Guo,LANC,0
Chuanxiong Guo,HotNets,0
Chuanxiong Guo,ANRW,0
Chuanxiong Guo,ANCS,0
Lee Breslau,SIGCOMM,8
Lee Breslau,IMC,0
Lee Breslau,CoNext,0
Lee Breslau,ICN,0
Lee Breslau,E-Energy,0
Lee Breslau,SenSys,0
Lee Breslau,SoSR,0
Lee Breslau,LANC,0
Lee Breslau,HotNets,0
Lee Breslau,ANRW,0
Lee Breslau,ANCS,0
Brighten Godfrey,SIGCOMM,8
Brighten Godfrey,IMC,0
Brighten Godfrey,CoNext,0
Brighten Godfrey,ICN,0
Brighten Godfrey,E-Energy,0
Brighten Godfrey,SenSys,0
Brighten Godfrey,SoSR,0
Brighten Godfrey,LANC,0
Brighten Godfrey,HotNets,0
Brighten Godfrey,ANRW,0
Brighten Godfrey,ANCS,0
Hongqiang Harry Liu,SIGCOMM,8
Hongqiang Harry Liu,IMC,0
Hongqiang Harry Liu,CoNext,0
Hongqiang Harry Liu,ICN,0
Hongqiang Harry Liu,E-Energy,0
Hongqiang Harry Liu,SenSys,0
Hongqiang Harry Liu,SoSR,0
Hongqiang Harry Liu,LANC,0
Hongqiang Harry Liu,HotNets,0
Hongqiang Harry Liu,ANRW,0
Hongqiang Harry Liu,ANCS,0
Kyle Jamieson,SIGCOMM,8
Kyle Jamieson,IMC,0
Kyle Jamieson,CoNext,0
Kyle Jamieson,ICN,0
Kyle Jamieson,E-Energy,0
Kyle Jamieson,SenSys,0
Kyle Jamieson,SoSR,0
Kyle Jamieson,LANC,0
Kyle Jamieson,HotNets,0
Kyle Jamieson,ANRW,0
Kyle Jamieson,ANCS,0
Lihua Yuan,SIGCOMM,8
Lihua Yuan,IMC,0
Lihua Yuan,CoNext,0
Lihua Yuan,ICN,0
Lihua Yuan,E-Energy,0
Lihua Yuan,SenSys,0
Lihua Yuan,SoSR,0
Lihua Yuan,LANC,0
Lihua Yuan,HotNets,0
Lihua Yuan,ANRW,0
Lihua Yuan,ANCS,0
Don Towsley,SIGCOMM,8
Don Towsley,IMC,0
Don Towsley,CoNext,0
Don Towsley,ICN,0
Don Towsley,E-Energy,0
Don Towsley,SenSys,0
Don Towsley,SoSR,0
Don Towsley,LANC,0
Don Towsley,HotNets,0
Don Towsley,ANRW,0
Don Towsley,ANCS,0
Brighten Godfrey,SIGCOMM,8
Brighten Godfrey,IMC,0
Brighten Godfrey,CoNext,0
Brighten Godfrey,ICN,0
Brighten Godfrey,E-Energy,0
Brighten Godfrey,SenSys,0
Brighten Godfrey,SoSR,0
Brighten Godfrey,LANC,0
Brighten Godfrey,HotNets,0
Brighten Godfrey,ANRW,0
Brighten Godfrey,ANCS,0
Dongsu Han,SIGCOMM,8
Dongsu Han,IMC,0
Dongsu Han,CoNext,0
Dongsu Han,ICN,0
Dongsu Han,E-Energy,0
Dongsu Han,SenSys,0
Dongsu Han,SoSR,0
Dongsu Han,LANC,0
Dongsu Han,HotNets,0
Dongsu Han,ANRW,0
Dongsu Han,ANCS,0
Andrew W. Moore,SIGCOMM,8
Andrew W. Moore,IMC,0
Andrew W. Moore,CoNext,0
Andrew W. Moore,ICN,0
Andrew W. Moore,E-Energy,0
Andrew W. Moore,SenSys,0
Andrew W. Moore,SoSR,0
Andrew W. Moore,LANC,0
Andrew W. Moore,HotNets,0
Andrew W. Moore,ANRW,0
Andrew W. Moore,ANCS,0
